loan_id,account_id,customer_id,loan_amount,loan_date,loan_status
L00232,714,263,10981.26,2018-01-21,approved
L00233,404,974,29351.23,2020-10-06,approved
L00234,1701,1973,41087.49,2018-09-05,approved
L00235,2437,2093,27698.83,2019-05-19,approved
L00236,2368,1316,18767.73,2018-07-15,pending
L00237,419,411,12789.5,2020-02-14,rejected
L00238,1312,182,14005.07,2020-07-08,approved
L00239,889,756,39038.69,2021-05-01,closed
L00240,127,1755,34357.93,2020-11-25,pending
L00241,82,1728,30312.56,2022-04-27,approved
L00242,873,147,23753.99,2019-06-10,approved
L00243,2160,2199,14221.82,2021-05-18,approved
L00244,1809,823,19231.48,2018-07-28,approved
L00245,705,1240,29192.33,2018-06-27,approved
L00246,2472,1311,35524.09,2019-12-10,closed
L00247,1031,664,9101.18,2021-08-04,closed
L00248,1445,892,12364.17,2019-02-24,closed
L00249,696,1885,24708.94,2020-02-27,approved
L00250,846,1731,39254.08,2022-11-22,approved
L00251,311,724,30131.37,2019-01-29,approved
L00252,2081,1021,13350.83,2021-05-14,closed
L00253,104,2181,22052.94,2019-08-20,approved
L00254,148,848,32319.64,2019-10-17,pending
L00255,1851,369,20078.16,2019-01-08,approved
L00256,877,1354,14540.01,2020-05-16,approved
L00257,280,539,9903.6,2021-10-03,approved
L00258,1285,636,41437.17,2022-05-18,approved
L00259,1634,1587,48179.94,2019-12-24,rejected
L00260,1412,1039,31188.51,2019-08-10,pending
L00261,1884,2179,40655.76,2018-06-29,closed
L00262,577,1180,43603.63,2021-12-10,closed
L00263,1971,844,39991.0,2022-12-10,pending
L00264,1164,2039,38748.25,2020-08-09,rejected
L00265,994,949,21273.74,2019-01-24,approved
L00266,2225,1163,46519.61,2019-10-04,closed
L00267,374,213,9398.78,2022-07-21,approved
L00268,1612,1766,17830.22,2021-06-22,closed
L00269,1549,1616,48563.98,2018-08-17,closed
L00270,737,1698,16574.99,2018-09-14,approved
L00271,1629,692,10951.81,2020-05-01,rejected
L00272,667,143,37695.28,2018-06-30,approved
L00273,1390,1100,25250.14,2018-10-12,approved
L00274,1393,1816,49752.95,2019-12-05,approved
L00275,2086,1267,31937.17,2021-11-08,approved
L00276,385,1690,35966.13,2021-04-10,approved
L00277,1760,1566,49232.42,2019-04-05,pending
L00278,443,1421,9003.8,2021-01-01,approved
L00279,1641,1785,49806.25,2020-10-13,pending
L00280,2083,249,11186.43,2018-02-24,approved
L00281,1552,1747,26110.77,2020-05-31,approved
L00282,475,1198,22288.2,2018-09-13,approved
L00283,980,2065,17203.79,2019-02-11,closed
L00284,1724,1111,45340.66,2019-08-13,approved
L00285,1765,1147,14978.99,2018-07-25,rejected
L00286,587,506,22106.71,2018-01-12,rejected
L00287,965,2111,44478.51,2021-02-06,approved
L00288,395,2000,29799.36,2018-06-20,approved
L00289,2245,1229,18324.54,2020-12-18,closed
L00290,1868,1875,38914.56,2021-09-24,closed
L00291,300,89,23279.24,2022-05-01,pending
L00292,648,986,20198.82,2021-01-23,approved
L00293,252,1081,16342.04,2021-04-09,approved
L00294,1513,715,14380.86,2018-09-02,approved
L00295,99,1716,31888.64,2018-07-01,closed
L00296,113,971,28446.77,2018-12-17,approved
L00297,2107,73,49566.22,2019-04-01,rejected
L00298,2134,213,25424.83,2021-03-27,pending
L00299,748,284,10786.21,2021-01-23,pending
L00300,872,1563,41297.95,2020-01-20,closed
L00301,1325,1239,6127.4,2020-10-23,approved
L00302,1785,2061,13874.29,2018-10-11,approved
L00303,1798,1319,14542.33,2020-06-15,approved
L00304,1232,323,24266.6,2018-05-10,approved
L00305,578,291,28419.61,2019-09-30,approved
L00306,1278,1679,13635.07,2018-06-12,approved
L00307,923,702,9087.21,2021-08-31,rejected
L00308,2027,74,35145.06,2022-07-12,approved
L00309,1518,932,20424.94,2020-04-17,approved
L00310,710,1659,35712.64,2018-05-04,pending
L00311,232,970,43054.65,2020-09-24,pending
L00312,656,1733,46483.21,2022-12-28,approved
L00313,725,694,36533.63,2020-06-28,closed
L00314,1230,1450,13222.53,2022-07-17,closed
L00315,1118,904,5148.51,2022-12-02,pending
L00316,2268,151,26939.27,2022-05-09,pending
L00317,911,1616,16146.08,2020-02-26,pending
L00318,1242,1575,38022.94,2022-09-27,approved
L00319,1292,677,36395.09,2019-02-18,approved
L00320,1630,1525,24878.17,2019-10-27,approved
L00321,1101,141,38496.36,2021-04-20,closed
L00322,1069,1050,24276.65,2020-08-28,approved
L00323,1501,477,9564.38,2021-12-06,closed
L00324,1923,1934,23518.55,2018-03-10,approved
L00325,605,970,26394.91,2022-10-04,approved
L00326,64,1004,35821.44,2020-06-15,approved
L00327,645,247,44679.46,2018-09-12,approved
L00328,2495,403,42829.41,2021-01-22,pending
L00329,2330,316,27715.88,2021-04-09,rejected
L00330,488,1255,30231.84,2021-07-28,approved
L00331,835,1209,23054.94,2020-10-18,pending
L00332,560,1813,26788.6,2020-02-13,rejected
L00333,565,1775,32332.87,2018-08-03,approved
L00334,1450,1808,8249.39,2021-08-22,approved
L00335,236,1521,10021.44,2020-07-28,pending
L00336,415,1508,48822.85,2022-10-27,approved
L00337,1176,528,29990.5,2019-04-14,pending
L00338,2089,238,10434.09,2019-06-03,approved
L00339,383,2120,41725.31,2018-03-13,approved
L00340,62,1879,29770.6,2021-08-13,rejected
L00341,1192,1344,19640.43,2020-08-18,rejected
L00342,964,640,26004.34,2022-02-01,approved
L00343,109,1140,17629.13,2020-04-12,pending
L00344,904,1587,34247.19,2021-01-27,pending
L00345,1855,310,40500.8,2019-12-20,pending
L00346,651,667,37951.9,2021-12-20,rejected
L00347,1994,1039,12042.63,2022-09-27,closed
L00348,40,1680,29551.15,2020-10-28,approved
L00349,765,1429,24331.49,2019-08-22,pending
L00350,1928,59,19353.03,2022-12-19,closed
L00351,1442,490,34567.72,2020-01-04,closed
L00352,1604,247,46369.66,2022-02-21,approved
L00353,1410,1489,7657.75,2019-11-22,closed
L00354,944,828,29402.8,2022-03-31,approved
L00355,670,2065,12865.67,2021-09-16,approved
L00356,1547,1523,9218.32,2018-04-25,rejected
L00357,954,346,47522.64,2022-04-01,approved
L00358,2166,889,12516.61,2020-05-28,approved
L00359,19,338,49975.24,2021-11-25,closed
L00360,2060,921,46696.1,2020-12-08,approved
L00361,1563,1657,34541.32,2022-07-04,approved
L00362,767,788,34352.48,2020-12-29,pending
L00363,51,806,32221.79,2018-02-09,pending
L00364,932,851,38565.18,2019-07-19,approved
L00365,2234,349,46297.05,2019-07-23,approved
L00366,122,1617,22471.38,2022-05-16,approved
L00367,2256,363,37430.59,2021-10-27,approved
L00368,1117,14,8985.52,2020-01-12,approved
L00369,504,1249,34698.08,2018-01-14,closed
L00370,1169,1603,38795.45,2019-01-10,approved
L00371,1924,86,18997.73,2020-09-25,closed
L00372,1592,1084,29126.03,2019-10-20,approved
L00373,214,1687,35853.79,2019-05-17,approved
L00374,2161,1985,31877.29,2019-10-04,closed
L00375,691,617,39777.0,2020-12-06,approved
L00376,563,1681,7034.14,2021-05-24,approved
L00377,2321,1365,14827.9,2020-01-12,approved
L00378,745,1080,29534.33,2020-02-21,rejected
L00379,1793,160,8737.94,2020-09-05,closed
L00380,624,1243,28541.46,2020-11-28,approved
L00381,23,766,40280.54,2018-02-05,pending
L00382,1941,1912,12643.34,2020-07-25,approved
L00383,865,1762,23400.05,2020-05-22,approved
L00384,905,1354,21394.26,2021-07-14,pending
L00385,1995,1573,34611.64,2019-08-10,pending
L00386,750,1264,39971.01,2022-06-21,rejected
L00387,1063,1490,10726.27,2020-06-24,rejected
L00388,1356,1008,40789.42,2019-11-19,approved
L00389,1238,862,23041.49,2019-06-21,approved
L00390,1962,1435,14911.86,2021-01-04,pending
L00391,1812,946,23845.84,2022-02-10,approved
L00392,3,1317,6636.37,2022-08-01,approved
L00393,596,1335,42471.29,2022-01-18,pending
L00394,2393,1441,6736.75,2022-04-22,approved
L00395,2062,1920,12342.6,2020-08-10,pending
L00396,921,915,21904.91,2020-10-31,pending
L00397,1810,2166,39816.01,2020-01-24,approved
L00398,1839,1300,29985.37,2022-08-12,closed
L00399,476,662,48751.85,2020-04-19,pending
L00400,1233,426,34338.66,2019-04-13,approved
L00401,1709,376,42644.29,2020-05-29,approved
L00402,2315,527,45200.72,2021-02-18,approved
L00403,1081,560,16894.95,2021-07-16,approved
L00404,2162,1972,26027.25,2019-04-27,approved
L00405,2244,147,36574.83,2021-02-28,approved
L00406,1097,1973,12706.54,2019-05-22,approved
L00407,2167,1359,10975.66,2019-07-28,closed
L00408,2281,870,38170.38,2020-02-06,closed
L00409,235,1630,39781.45,2018-04-11,approved
L00410,81,1759,8673.96,2018-06-30,approved
L00411,1814,1244,12676.53,2022-08-16,approved
L00412,637,1987,38154.72,2022-02-22,approved
L00413,1460,1526,39988.73,2022-01-21,approved
L00414,2084,1437,16354.96,2019-11-04,approved
L00415,1565,1210,9339.02,2018-12-10,closed
L00416,1094,1347,24284.57,2022-07-15,rejected
L00417,1198,820,11052.83,2021-08-05,pending
L00418,1470,331,22715.56,2018-08-04,closed
L00419,956,1157,30345.95,2020-04-07,approved
L00420,397,970,30038.82,2018-05-03,approved
L00421,1358,1960,15622.06,2020-04-10,pending
L00422,897,905,41932.7,2019-02-07,approved
L00423,444,2074,18973.19,2019-09-03,closed
L00424,570,1255,23386.25,2022-09-25,approved
L00425,828,1324,24301.39,2020-11-01,approved
L00426,1716,278,15756.35,2019-12-19,closed
L00427,1343,1653,31727.15,2021-01-13,approved
L00428,1218,404,17427.75,2019-07-08,approved
L00429,1237,1911,48962.23,2019-06-28,closed
L00430,22,1412,28511.92,2020-01-29,approved
L00431,1030,1007,10108.25,2019-10-14,closed
L00432,370,1660,30709.78,2018-01-28,rejected
L00433,1023,1695,22453.36,2020-12-31,rejected
L00434,518,1153,9047.04,2018-08-06,pending
L00435,1803,2089,34610.96,2018-06-27,rejected
L00436,282,1418,30504.35,2018-06-04,closed
L00437,7,2142,17243.29,2020-10-18,approved
L00438,514,1494,26702.91,2018-12-17,closed
L00439,2363,80,37657.47,2019-03-31,closed
L00440,2482,697,37164.82,2018-06-08,approved
L00441,2168,2002,25695.77,2018-06-01,approved
L00442,782,284,38952.55,2019-05-26,approved
L00443,414,1827,12137.02,2022-02-05,approved
L00444,971,2107,32969.39,2022-03-04,pending
L00445,674,1447,17693.15,2022-10-12,pending
L00446,981,521,42094.36,2022-10-29,closed
L00447,1282,1162,43079.55,2021-02-09,pending
L00448,216,667,9364.7,2021-05-13,approved
L00449,506,2090,17281.8,2021-04-13,rejected
L00450,1708,1070,39027.14,2021-07-11,closed
L00451,11,1490,11552.98,2018-01-20,approved
L00452,641,1069,47051.71,2022-06-13,rejected
L00453,430,975,32051.37,2021-03-17,pending
L00454,1879,1934,48229.08,2021-01-09,approved
L00455,1935,1038,7578.42,2018-04-30,closed
L00456,673,1703,17661.8,2020-01-26,approved
L00457,1367,1261,25256.72,2020-01-31,approved
L00458,1208,2089,13765.05,2018-04-02,closed
L00459,1816,1271,5006.44,2020-08-15,pending
L00460,680,1962,16018.78,2019-10-26,approved
L00461,1937,681,6803.08,2019-07-11,closed
L00462,291,1455,11617.31,2022-12-10,pending
L00463,1380,2103,47065.93,2018-11-03,closed
L00464,2058,1577,17904.94,2020-11-19,approved
L00465,337,1877,7790.29,2022-11-07,approved
L00466,758,542,10499.24,2019-02-24,approved
L00467,2445,1226,38589.55,2021-02-01,approved
L00468,2307,844,9900.97,2021-07-02,closed
L00469,862,1224,33760.85,2021-06-13,approved
L00470,2455,1145,37367.93,2018-12-11,approved
L00471,1517,356,30005.69,2021-11-04,approved
L00472,377,1175,38894.9,2021-12-30,pending
L00473,1345,841,11546.09,2018-12-03,closed
L00474,61,1937,48106.24,2019-03-26,rejected
L00475,955,410,44727.24,2020-09-27,approved
L00476,1323,210,34503.66,2020-02-05,approved
L00477,60,958,19619.6,2018-05-18,pending
L00478,909,2120,32238.9,2022-05-19,approved
L00479,1152,1508,26802.36,2018-10-24,approved
L00480,1572,1446,6685.4,2022-04-23,closed
L00481,436,126,41638.28,2020-06-05,approved
L00482,2269,888,47215.74,2019-05-09,approved
L00483,238,338,5796.81,2021-07-23,closed
L00484,1973,1649,40447.8,2021-09-28,approved
L00485,1720,1365,17588.03,2018-01-29,closed
L00486,1334,501,19806.85,2018-05-02,approved
L00487,2436,246,41225.2,2020-01-24,closed
L00488,2012,743,7999.94,2020-03-07,approved
L00489,361,493,15651.99,2022-11-01,pending
L00490,784,1721,24232.7,2021-11-11,approved
L00491,942,16,25732.59,2021-10-04,approved
L00492,2300,1048,12221.41,2020-03-11,pending
L00493,8,2061,44142.35,2022-01-07,approved
L00494,778,1203,20668.85,2019-06-01,approved
L00495,2295,761,19541.34,2020-11-07,approved
L00496,1170,109,46187.58,2018-08-29,pending
L00497,418,1053,18406.87,2021-11-22,approved
L00498,832,2149,29610.09,2019-04-19,closed
L00499,2000,83,32723.69,2019-07-11,pending
L00500,307,627,28990.44,2021-06-16,closed
L00501,1147,621,39606.42,2019-02-27,pending
L00502,1383,1624,8695.05,2021-02-04,closed
L00503,1596,681,7458.05,2018-07-04,approved
L00504,351,1740,6114.27,2021-03-24,closed
L00505,1145,278,16285.81,2018-01-10,closed
L00506,456,861,30253.86,2021-08-06,approved
L00507,1683,1373,8317.9,2019-05-14,rejected
L00508,1260,1697,21541.78,2020-08-12,pending
L00509,2116,1198,38565.1,2019-11-17,approved
L00510,1009,1755,20600.33,2022-01-14,approved
L00511,269,1916,15824.47,2020-12-10,approved
L00512,1712,1337,19592.07,2019-09-22,pending
L00513,483,685,28759.47,2022-06-29,approved
L00514,1115,136,37373.48,2022-02-24,rejected
L00515,314,216,12187.5,2019-08-23,approved
L00516,1488,911,24626.15,2019-12-18,pending
L00517,1353,2007,17605.86,2019-03-17,closed
L00518,1100,989,26727.59,2020-01-04,closed
L00519,1967,2027,37598.0,2022-01-11,approved
L00520,1790,923,12593.69,2022-06-01,approved
L00521,2057,435,43554.32,2020-05-19,rejected
L00522,617,1695,20037.38,2018-09-29,pending
L00523,203,1176,36923.27,2018-09-22,closed
L00524,2180,386,17400.12,2018-04-04,approved
L00525,1635,773,10530.3,2020-09-22,closed
L00526,303,734,22153.37,2020-02-04,closed
L00527,1251,1450,18748.13,2019-09-28,approved
L00528,1749,153,33451.97,2019-10-06,approved
L00529,982,644,22747.71,2020-03-03,approved
L00530,208,1212,12072.91,2020-01-02,approved
L00531,1294,353,17766.53,2021-05-25,approved
L00532,1295,1393,11411.21,2022-02-04,approved
L00533,1505,1689,33491.61,2019-01-13,pending
L00534,2087,479,49410.45,2018-07-26,closed
L00535,411,126,38049.28,2019-02-01,approved
L00536,857,2195,46807.54,2018-06-03,closed
L00537,548,1520,35304.61,2021-11-21,pending
L00538,517,414,43805.42,2020-08-03,closed
L00539,2335,1013,45418.9,2018-08-07,approved
L00540,2274,314,10230.55,2021-03-05,approved
L00541,239,1189,38836.82,2022-04-21,pending
L00542,10,1568,34111.1,2019-12-31,approved
L00543,1959,872,22663.68,2019-10-13,approved
L00544,643,1588,36376.53,2018-04-03,approved
L00545,2232,933,45424.12,2018-03-27,approved
L00546,1840,1341,12030.08,2020-06-03,approved
L00547,455,2135,42265.67,2019-06-27,pending
L00548,861,977,5703.59,2022-03-17,approved
L00549,1298,1101,38524.21,2019-05-10,approved
L00550,416,183,9234.88,2022-10-16,pending
L00551,211,1440,13230.82,2020-03-02,closed
L00552,743,774,46756.52,2022-05-01,approved
L00553,1610,1813,10406.15,2022-07-03,approved
L00554,2098,1508,29511.97,2022-03-14,approved
L00555,1317,1484,45276.17,2022-03-03,pending
L00556,362,1746,34739.3,2021-05-04,rejected
L00557,2421,1552,16174.4,2020-01-13,pending
L00558,153,544,42935.22,2019-10-21,pending
L00559,1465,1166,29529.73,2020-11-13,pending
L00560,534,1038,31494.23,2022-06-05,approved
L00561,1977,1840,41470.23,2018-12-20,closed
L00562,1777,1145,26129.54,2018-09-05,approved
L00563,2385,1719,27524.23,2021-07-19,rejected
L00564,402,1485,29895.24,2020-08-30,approved
L00565,2283,647,27995.35,2021-06-21,approved
L00566,1960,210,23109.44,2018-09-07,approved
L00567,29,1300,21805.08,2021-06-23,closed
L00568,2388,1349,9852.34,2019-03-29,closed
L00569,759,1073,42186.13,2019-12-21,closed
L00570,706,1944,34838.06,2022-08-14,rejected
L00571,963,125,38899.97,2020-06-18,rejected
L00572,2200,878,12296.72,2018-10-19,closed
L00573,1223,2198,15015.43,2019-12-05,approved
L00574,1421,641,43133.6,2022-03-09,pending
L00575,1713,149,26550.91,2019-12-08,approved
